typecheck	2026-09-20T02:13:00.8968423Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8969507Z ##[error]packages/core/test/unit/runtime/publisher-requirement-inputs.test.ts(96,72): error TS2339: Property 'diagnostics' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8970957Z   Property 'diagnostics' does not exist on type 'DestroyedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8972057Z ##[error]packages/core/test/unit/runtime/publisher-solver-members.test.ts(238,25): error TS2339: Property 'diagnostics' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8973264Z   Property 'diagnostics' does not exist on type 'DestroyedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8974322Z ##[error]packages/core/test/unit/runtime/publisher-solver-members.test.ts(239,25): error TS2339: Property 'diagnostics' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8975505Z   Property 'diagnostics' does not exist on type 'DestroyedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8976581Z ##[error]packages/core/test/unit/runtime/publisher-solver-members.test.ts(243,28): error TS2339: Property 'diagnostics' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8977954Z   Property 'diagnostics' does not exist on type 'DestroyedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8979037Z ##[error]packages/core/test/unit/runtime/publisher-solver-members.test.ts(246,37): error TS2339: Property 'diagnostics' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8980234Z   Property 'diagnostics' does not exist on type 'DestroyedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8981246Z ##[error]packages/core/test/unit/runtime/recompile-predicate.test.ts(210,17): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8982378Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8983534Z ##[error]packages/core/test/unit/runtime/registry-phase.test.ts(191,24): error TS2345: Argument of type 'Patch' is not assignable to parameter of type 'LivePatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8984747Z   Type 'DestroyedPatch' is not assignable to type 'LivePatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8985349Z     Property 'diagnostics' is missing in type 'DestroyedPatch' but required in type 'ErrorPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8986645Z ##[error]packages/core/test/unit/runtime/registry-phase.test.ts(196,27): error TS2345: Argument of type 'Patch' is not assignable to parameter of type 'LivePatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8988269Z   Type 'DestroyedPatch' is not assignable to type 'LivePatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8988854Z     Property 'diagnostics' is missing in type 'DestroyedPatch' but required in type 'ErrorPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8990163Z ##[error]packages/core/test/unit/runtime/registry-phase.test.ts(197,36): error TS2345: Argument of type 'Patch' is not assignable to parameter of type 'LivePatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8991370Z   Type 'DestroyedPatch' is not assignable to type 'LivePatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8991939Z     Property 'diagnostics' is missing in type 'DestroyedPatch' but required in type 'ErrorPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8993054Z ##[error]packages/core/test/unit/runtime/scheduler-reentrancy.test.ts(41,51): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8994191Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8995241Z ##[error]packages/core/test/unit/runtime/structural-commit-flush.test.ts(214,56): error TS2339: Property 'diagnostics' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8996448Z   Property 'diagnostics' does not exist on type 'DestroyedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8997787Z ##[error]packages/react/test/patch-store-destroy.test.ts(21,33): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8998955Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8999942Z ##[error]packages/react/test/patch-store-destroy.test.ts(44,33): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.9001055Z   Property 'values' does not exist on type 'BlockedPatch'.
