un typecheck	2026-09-20T02:13:00.8590669Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8591639Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(687,17): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8592758Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8593910Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(687,47): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8595059Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8596032Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(688,17): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8597389Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8598419Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(688,47): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8599572Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8600542Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(698,50): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8601713Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8602698Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(708,34): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8603826Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8604795Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(709,34): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8605923Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8606928Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(710,31): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8608441Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8609473Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(711,31): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8610607Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8611583Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(721,30): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8612894Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8613882Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(722,30): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8615005Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8615972Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(723,30): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8617335Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8618352Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(724,29): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8619506Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8620486Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(725,29): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8621618Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8622592Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(726,29): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8623714Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8624678Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(731,48): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8625823Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8626804Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(733,32): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8628251Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8629551Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(734,32): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8630691Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8631710Z ##[error]packages/core/test/integration/plugin-group-values-section.test.ts(157,19): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T02:13:00.8632876Z   Property 'values' does not exist on type 'BlockedPatch'.
